Project Name,Last Edited,Last status change,Next milestone & date,Owner,Phase,Questions/Blockers,Status,Status History,This Week's Update
ID Fund,"February 12, 2026 3:38 AM","February 12, 2026",,Veljko Dragšić,Active,,🟢 Green,🟢🟢🟢🟢🟢🟢🟢🟢,"Nothing new, going good as usual. That big rebranding/migration is scheduled for February 🤞"
LocalDrive,"December 18, 2025 7:15 AM","November 27, 2025",,Danijel Latin,Support,,🟢 Green,🟢🟢🟢🟢 ,In maintenance mode. Running platform tests and fixing issues if and when they come up.
MyLogistics.AI,"February 12, 2026 7:11 AM","February 12, 2026","Meeting on 2/12 with goal to close out phase 1, Phase 2 SOW",Amber Gapinski,Active,,🟢 Green,🟢🟢 🟢 🟢 🟢  🟢  🟢  🟢 🟢🟢,"Meeting with Client today with the intent to close out phase 1. Client working on document for VBT for phase 2 SOW. "
New Wave Loans,"February 12, 2026 7:10 AM","February 12, 2026","VO mockups in progress ",Amber Gapinski,Active,,🟡 Yellow,🟢🟢 🟡🟡🟡🟡🟡🟡🟡🟡,"Working on VO Mock ups.. Client looking forward to them so we can take next steps. "
Office Practicum - Consulting / Support,"January 5, 2026 8:43 AM","December 17, 2025",Delivering deck and discovery report,Erica Briones,Completed,,🟢 Green,🟢🟢🟢🟢 ,We had a meeting with SF vendor on Monday we received the proposal. I think it will help them a lot and will be another OP win.
Online Vacation Center,"February 12, 2026 3:41 AM","February 12, 2026",,Veljko Dragšić,Active,,🟢 Green, 🟢🟢🟢🟢🟢🟢🟢🟢,"We are in support mode. Stephen gave verbal approval for two SoWs that we are preparing now. 
- support for the website $5k/mo for 6mo
- CRM research $15k

Based on CRM research, we will most prob move with AI automation for customer agents — ~75k
"
Optima,"February 4, 2026 11:58 AM","February 4, 2026"," Need all access points",Alex Wood,Active,,🟢 Green,🟢🟢🟢🟢🟢🟢🟢🟢 ,Working on both individual track items (reusable components) and track integration themselves.  Still fighting to get access everywhere we need (almost solved).  Need to start mapping out workflows w/ client.
ST Paper,"February 12, 2026 3:44 AM","February 12, 2026",,Veljko Dragšić,Support,,🟢 Green,🟢🟢🟡🟢🟢N/A,No update - haven’t heard back from Sahil. Only some questions re PowerBI coming from their team.
The Shade Store,"February 12, 2026 7:12 AM","February 12, 2026",Meeting with client on the Production workflow on 2/20,Amber Gapinski,Active,,🟢 Green,🟢🟢 🟢 🟢 🟢 🟢 🟢 🟢  🟢,"Received items for P0 of Rendering, this has an impact on the what they are calling PRoduction workflows. Tentative scheduled meeting on Friday 2/20"
WAGL,"January 8, 2026 1:57 AM","December 18, 2025",,Danijel Latin,Completed,,🟢 Green,🟢🟢🟢🟢 ,Performing minor bug fixes and providing support to the client. We consider the project to be done because the client made so many changes it’s difficult for us to maintain it without investing significant amount of hours.
World Emblem,"February 4, 2026 11:59 AM","February 4, 2026",V1.5 working version EOW,Alex Wood,Active,,🟢 Green, 🟢 🟡🟡🟢🟢🟢🟢🟢🟢,"V1.2 continuing to be launched in waves.  A few UX/UI updates, but component feedback has been good.  Been a ton of work for our team on this.  Continuing to be responsive to features, build out V1.5 and keep everything moving."
World Emblem - AIDaaS,"February 11, 2026 11:46 AM","February 11, 2026",Having all teams complete the Prompt Engineering Training,Erica Briones,Active,"This is a short month, we need to deliver 77hs, that is mainly on me and Nikica, but I'm at a time where OP needs me a lot. So I'm concerned if we will deliver the total amount of hours.",🟢 Green,🟢🟢🟢🟢🟢🟢🟢,The initiatives started to generate ROI. Numbers look promising.
Xavier University,"February 4, 2026 12:00 PM","February 4, 2026",Chat infrastructure and support in UI,Alex Wood,Active,,🟢 Green,🟢🟢🟢 🟢🟢🟢🟢🟢🟢,Finalizing service integrations & continuing to deploy to TestFlight.  Brought another Bitovi dev to roll off another.  Good progress
ZeroFox,"February 11, 2026 11:45 AM","February 11, 2026",Send future work estimates,Erica Briones,Active,,🟢 Green,🟢🟢🟢🟢🟢🟢🟢 ,We presented the discovery report and the client asked for the future work estimates 🙂
Sitemark,"January 8, 2026 6:24 AM","January 8, 2026",,Danijel Latin,Support,,,🟢,"Completed the project, providing small support."
Certify-Ed - Platform,"December 18, 2025 7:15 AM","December 11, 2025",,Danijel Latin,Support,,,🟢🟢🟢🟢,Fixed an infrastructure issue.
RPM Raceway,"November 24, 2025 4:12 AM",,,Tibor Kranjčec,Support,,,,
Flexcare,"January 8, 2026 6:25 AM","January 8, 2026",,Danijel Latin,Support,,,,Sent an estimate for 8 hrs of work. Waiting on feedback. They reported an issue w/ Android. Will have Tin look into it after next week.
GOST,"January 8, 2026 6:24 AM","January 8, 2026",,Danijel Latin,Support,,,🟢,Estimate for 35 hrs sent. Estimate got approved. They have requested one more estimate for another project.
Carnival,"January 28, 2026 11:12 AM","January 21, 2026",Get signature!,Alex Wood,Completed,,🟢 Green,🟢🟢🟢🟢🟢 ,"Working on SOW signature.  Client is ready for kick-off on 2/1.  Should transition this to @Amber Gapinski "
Grant Thornton,"January 28, 2026 11:11 AM","January 28, 2026",Start follow ups in early January,Alex Wood,Completed,,🟢 Green,🟢🟢🟢 🟢 ,"Same update 1/28 - We have completed both R&D’s but expect a really slow process to get to production.  Might need to pull some levers here on GT side (i.e connect w/ CTO) to try to expedite.  "
Revelocity,"January 28, 2026 11:11 AM","January 28, 2026",Meeting in Feb,Alex Wood,Completed,,🟢 Green,🟢🟢🟢🟢 ,Meeting with client in Feb now
Encoda,"February 5, 2026 6:48 AM","February 4, 2026",Deliverables in next two weeks,Alex Wood,Active,,🟢 Green,🟢🟢🟢🟢🟢 🟢,"Had a client checkpoint meeting for opportunity mapping on Monday.  Client was really happy with outcome.  They are prioritizing opportunities for early next week.  A lot of work to go here, but heading in right direction to wrap up in next couple weeks and push for an Add AI to Product project(s)."
TrackFrame,"February 11, 2026 11:51 AM","February 11, 2026","v0.3.0-beta (Feb 28, 2025) - ""Production Ready"" Complete",Erica Briones,Active,Access to client's environment so we can test our concepts,🟢 Green,🟡🟡🟡🟢,"The dev team had a good session on Monday 02/09/2026. We unblock some important definitions: refine for integration layer, components will be built logic-less, authorization via CanAccess and Paras will research a workflow engine."
OP: Wave 1,"February 11, 2026 11:57 AM","February 11, 2026",Complete foundation Backlog and Plan,Erica Briones,Active,Component library selection,🟢 Green,🟢🟢🟢🟢,"The team is starting to find its velocity. We are still reviewing the backlog and working on user personas and journeys. Falling a little behind on the design system, the client will approve the component library today."
OP: Billers + EHR,"February 12, 2026 3:40 AM","February 11, 2026",,Erica Briones,Active,,🟢 Green,🟢🟢🟢🟢,"We had several meetings with the client this week, and the discovery is evolving as expected."
Bond,"February 4, 2026 11:57 AM","February 4, 2026",,Alex Wood,Active,"Do we know the client team yet? ",🟢 Green,🟢,"SOW signed, working to connect w/ project team"
